Date,Event,Fighter 1,Fighter 2,Line,Over_Odds,Under_Odds ,Pred,Result,Units,
7/13/2024,UFC Fight Night: Namajunas vs. Cortez,Julian Erosa,Christian Rodriguez,2.5,-145,114,Over,Under,-1,
7/13/2024,UFC Fight Night: Namajunas vs. Cortez,Gabriel Bonfim,Ange Loosa,1.5,-166,130,Over,Over,0.60,
7/13/2024,UFC Fight Night: Namajunas vs. Cortez,Drew Dober,Jean Silva,1.5,-135,105,Under,Over,-1,
7/13/2024,UFC Fight Night: Namajunas vs. Cortez,Santiago Ponzinibbio,Muslim Salikhov,2.5,100,-130,Over,Over,1,
7/13/2024,UFC Fight Night: Namajunas vs. Cortez,Rose Namajunas,Tracy Cortez,4.5,-315,230,Under,Over,-1,
7/20/2024,UFC Fight Night: Lemos vs. Jandiroba,JeongYeong Lee,Hyder Amil,2.5,-105,-125,Over,Under,-1,
7/20/2024,UFC Fight Night: Lemos vs. Jandiroba,Dooho Choi,Bill Algeo,2.5,-188,145,Over,Under,-1,
7/20/2024,UFC Fight Night: Lemos vs. Jandiroba,Cody Durden,Bruno Silva,2.5,-200,154,Under,Under,1.54,
7/20/2024,UFC Fight Night: Lemos vs. Jandiroba,Kurt Holobaugh,Kaynan Krushewsky,2.5,105,-135,Under,Over,-1,
7/20/2024,UFC Fight Night: Lemos vs. Jandiroba,Steve Garcia,SeungWoo Choi,2.5,150,-195,Over,Under,-1,
7/20/2024,UFC Fight Night: Lemos vs. Jandiroba,Amanda Lemos,Virna Jandiroba,2.5,-175,135,Over,Under,-1,
7/27/2024,UFC 304: Edwards vs. Muhammad 2,Arnold Allen,Giga Chikadze,2.5,-245,185,Over,Over,0.408163265,
7/27/2024,UFC 304: Edwards vs. Muhammad 2,Muhammad Mokaev,Manel Kape,2.5,-238,180,Over,Over,0.420168067,
7/27/2024,UFC 304: Edwards vs. Muhammad 2,King Green,Paddy Pimblett,2.5,-188,145,Over,Under,-1,
7/27/2024,UFC 304: Edwards vs. Muhammad 2,Tom Aspinall,Curtis Blaydes,1.5,135,-175,Under,Under,0.571428571,
7/27/2024,UFC 304: Edwards vs. Muhammad 2,Leon Edwards,Belal Muhammad,4.5,-230,175,Under,Over,-1,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
